file_name,label
train_0001.wav,Non-canonical
train_0002.wav,Canonical
train_0003.wav,Non-canonical
train_0004.wav,Non-canonical
train_0005.wav,Laughing
train_0006.wav,Junk
train_0007.wav,Junk
train_0008.wav,Canonical
train_0009.wav,Junk
train_0010.wav,Junk
train_0011.wav,Junk
train_0012.wav,Junk
train_0013.wav,Junk
train_0014.wav,Non-canonical
train_0015.wav,Non-canonical
train_0016.wav,Canonical
train_0017.wav,Non-canonical
train_0018.wav,Junk
train_0019.wav,Junk
train_0020.wav,Junk
train_0021.wav,Junk
train_0022.wav,Junk
train_0023.wav,Non-canonical
train_0024.wav,Crying
train_0025.wav,Crying
train_0026.wav,Crying
train_0027.wav,Canonical
train_0028.wav,Crying
train_0029.wav,Canonical
train_0030.wav,Junk
train_0031.wav,Canonical
train_0032.wav,Non-canonical
train_0033.wav,Non-canonical
train_0034.wav,Non-canonical
train_0035.wav,Non-canonical
train_0036.wav,Non-canonical
train_0037.wav,Junk
train_0038.wav,Junk
train_0039.wav,Junk
train_0040.wav,Non-canonical
train_0041.wav,Non-canonical
train_0042.wav,Canonical
train_0043.wav,Junk
train_0044.wav,Non-canonical
train_0045.wav,Junk
train_0046.wav,Junk
train_0047.wav,Non-canonical
train_0048.wav,Non-canonical
train_0049.wav,Non-canonical
train_0050.wav,Junk
train_0051.wav,Junk
train_0052.wav,Junk
train_0053.wav,Junk
train_0054.wav,Non-canonical
train_0055.wav,Junk
train_0056.wav,Non-canonical
train_0057.wav,Junk
train_0058.wav,Non-canonical
train_0059.wav,Crying
train_0060.wav,Junk
train_0061.wav,Non-canonical
train_0062.wav,Canonical
train_0063.wav,Junk
train_0064.wav,Non-canonical
train_0065.wav,Non-canonical
train_0066.wav,Non-canonical
train_0067.wav,Junk
train_0068.wav,Non-canonical
train_0069.wav,Non-canonical
train_0070.wav,Canonical
train_0071.wav,Junk
train_0072.wav,Non-canonical
train_0073.wav,Non-canonical
train_0074.wav,Junk
train_0075.wav,Non-canonical
train_0076.wav,Laughing
train_0077.wav,Non-canonical
train_0078.wav,Junk
train_0079.wav,Canonical
train_0080.wav,Junk
train_0081.wav,Junk
train_0082.wav,Junk
train_0083.wav,Junk
train_0084.wav,Junk
train_0085.wav,Non-canonical
train_0086.wav,Non-canonical
train_0087.wav,Junk
train_0088.wav,Junk
train_0089.wav,Junk
train_0090.wav,Crying
train_0091.wav,Non-canonical
train_0092.wav,Junk
train_0093.wav,Crying
train_0094.wav,Junk
train_0095.wav,Non-canonical
train_0096.wav,Junk
train_0097.wav,Non-canonical
train_0098.wav,Non-canonical
train_0099.wav,Non-canonical
train_0100.wav,Junk
train_0101.wav,Junk
train_0102.wav,Non-canonical
train_0103.wav,Junk
train_0104.wav,Non-canonical
train_0105.wav,Crying
train_0106.wav,Canonical
train_0107.wav,Non-canonical
train_0108.wav,Junk
train_0109.wav,Junk
train_0110.wav,Junk
train_0111.wav,Non-canonical
train_0112.wav,Junk
train_0113.wav,Crying
train_0114.wav,Non-canonical
train_0115.wav,Junk
train_0116.wav,Junk
train_0117.wav,Junk
train_0118.wav,Junk
train_0119.wav,Non-canonical
train_0120.wav,Non-canonical
train_0121.wav,Non-canonical
train_0122.wav,Crying
train_0123.wav,Non-canonical
train_0124.wav,Non-canonical
train_0125.wav,Junk
train_0126.wav,Non-canonical
train_0127.wav,Junk
train_0128.wav,Non-canonical
train_0129.wav,Junk
train_0130.wav,Non-canonical
train_0131.wav,Canonical
train_0132.wav,Crying
train_0133.wav,Junk
train_0134.wav,Non-canonical
train_0135.wav,Junk
train_0136.wav,Junk
train_0137.wav,Canonical
train_0138.wav,Junk
train_0139.wav,Junk
train_0140.wav,Non-canonical
train_0141.wav,Junk
train_0142.wav,Junk
train_0143.wav,Junk
train_0144.wav,Crying
train_0145.wav,Junk
train_0146.wav,Junk
train_0147.wav,Junk
train_0148.wav,Non-canonical
train_0149.wav,Non-canonical
train_0150.wav,Junk
train_0151.wav,Junk
train_0152.wav,Junk
train_0153.wav,Non-canonical
train_0154.wav,Junk
train_0155.wav,Non-canonical
train_0156.wav,Junk
train_0157.wav,Crying
train_0158.wav,Non-canonical
train_0159.wav,Non-canonical
train_0160.wav,Non-canonical
train_0161.wav,Non-canonical
train_0162.wav,Non-canonical
train_0163.wav,Non-canonical
train_0164.wav,Junk
train_0165.wav,Non-canonical
train_0166.wav,Non-canonical
train_0167.wav,Non-canonical
train_0168.wav,Junk
train_0169.wav,Non-canonical
train_0170.wav,Non-canonical
train_0171.wav,Non-canonical
train_0172.wav,Non-canonical
train_0173.wav,Non-canonical
train_0174.wav,Junk
train_0175.wav,Junk
train_0176.wav,Non-canonical
train_0177.wav,Non-canonical
train_0178.wav,Non-canonical
train_0179.wav,Junk
train_0180.wav,Junk
train_0181.wav,Canonical
train_0182.wav,Non-canonical
train_0183.wav,Non-canonical
train_0184.wav,Non-canonical
train_0185.wav,Junk
train_0186.wav,Junk
train_0187.wav,Junk
train_0188.wav,Non-canonical
train_0189.wav,Non-canonical
train_0190.wav,Junk
train_0191.wav,Non-canonical
train_0192.wav,Non-canonical
train_0193.wav,Junk
train_0194.wav,Junk
train_0195.wav,Canonical
train_0196.wav,Canonical
train_0197.wav,Canonical
train_0198.wav,Non-canonical
train_0199.wav,Junk
train_0200.wav,Non-canonical
train_0201.wav,Non-canonical
train_0202.wav,Junk
train_0203.wav,Junk
train_0204.wav,Junk
train_0205.wav,Junk
train_0206.wav,Junk
train_0207.wav,Non-canonical
train_0208.wav,Non-canonical
train_0209.wav,Junk
train_0210.wav,Non-canonical
train_0211.wav,Laughing
train_0212.wav,Canonical
train_0213.wav,Canonical
train_0214.wav,Crying
train_0215.wav,Non-canonical
train_0216.wav,Canonical
train_0217.wav,Non-canonical
train_0218.wav,Junk
train_0219.wav,Junk
train_0220.wav,Junk
train_0221.wav,Junk
train_0222.wav,Junk
train_0223.wav,Non-canonical
train_0224.wav,Junk
train_0225.wav,Junk
train_0226.wav,Junk
train_0227.wav,Non-canonical
train_0228.wav,Junk
train_0229.wav,Non-canonical
train_0230.wav,Canonical
train_0231.wav,Non-canonical
train_0232.wav,Crying
train_0233.wav,Non-canonical
train_0234.wav,Non-canonical
train_0235.wav,Crying
train_0236.wav,Junk
train_0237.wav,Junk
train_0238.wav,Junk
train_0239.wav,Non-canonical
train_0240.wav,Junk
train_0241.wav,Canonical
train_0242.wav,Junk
train_0243.wav,Junk
train_0244.wav,Junk
train_0245.wav,Non-canonical
train_0246.wav,Canonical
train_0247.wav,Non-canonical
train_0248.wav,Junk
train_0249.wav,Junk
train_0250.wav,Junk
train_0251.wav,Junk
train_0252.wav,Junk
train_0253.wav,Junk
train_0254.wav,Canonical
train_0255.wav,Non-canonical
train_0256.wav,Junk
train_0257.wav,Non-canonical
train_0258.wav,Non-canonical
train_0259.wav,Junk
train_0260.wav,Non-canonical
train_0261.wav,Crying
train_0262.wav,Crying
train_0263.wav,Junk
train_0264.wav,Canonical
train_0265.wav,Junk
train_0266.wav,Non-canonical
